"UV Island Alignment Tool","UV Island Alignment Tool"
"ピボットポイント","Pivot Point"
"余白","Margin"
"間隔","Spacing"
"左上","Upper Left"
"上","Up"
"右上","Upper Right"
"左","Left"
"中央","Center"
"右","Right"
"左下","Lower Left"
"下","Bottom"
"右下","Lower Right"
"整列の基準","Align To"
"整列","Align"
"等間隔に分布","Distribute Spacing"
"範囲内に分布","Distribute Within Range"
"2Dカーソルを移動","Move 2D Cursor"
"水平方向","Horizontal Direction"
"垂直方向","Vertical Direction"
"アイランドを整列する","UV Island Alignment"
"選択したアイランドを整列します","Align selected UV islands"
"アイランドを等間隔に分布","UV Island Distribute Spacing"
"選択したアイランドを等間隔に分布します","Distribute selected UV islands evenly spaced"
"アイランドを範囲内に分布","UV Island Distribute Within Range"
"選択したアイランドを範囲内に分布します","Distribute selected UV islands within a range"
"2Dカーソルの位置をリセット","Reset Cursor Position"
"2Dカーソルを左下に移動します","Move 2D cursor in lower left"